step,queue
798,6
799,6
800,6
801,6
802,6
803,6
804,6
805,6
806,6
807,6
808,6
809,8
810,4
811,0
812,0
813,0
814,0
815,0
816,4
817,0
818,0
819,0
820,0
821,0
822,0
823,0
824,0
825,0
826,0
827,0
828,0
829,1
830,1
831,2
832,2
833,2
834,2
835,2
836,2
837,2
838,2
839,2
840,6
841,2
842,2
843,2
844,2
845,2
846,2
847,2
848,2
849,2
850,2
851,2
852,3
853,3
854,3
855,4
856,4
857,4
858,4
859,4
860,4
861,4
862,4
863,4
864,8
865,4
866,4
867,4
868,4
869,4
870,4
871,4
872,4
873,4
874,4
875,4
876,4
877,4
878,4
879,6
880,6
881,6
882,6
883,6
884,6
885,6
886,6
887,6
888,10
889,6
890,6
891,6
892,6
893,6
894,6
895,6
896,6
897,6
898,6
899,6
900,2
901,0
902,1
903,1
904,1
905,1
906,2
907,2
908,2
909,2
910,2
911,2
912,6
913,2
914,2
915,2
916,2
917,2
918,2
919,2
920,2
921,2
922,2
923,2
924,2
925,2
926,3
927,4
928,4
929,4
930,4
931,4
932,4
933,4
934,4
935,4
936,8
937,4
938,4
939,4
940,4
941,4
942,4
943,4
944,4
945,4
946,4
947,4
948,4
949,4
950,4
951,4
952,5
953,6
954,6
955,6
956,6
957,6
958,6
959,6
960,10
961,6
962,6
963,6
964,6
965,6
966,6
967,6
968,6
969,6
970,6
971,6
972,6
973,6
974,6
975,6
976,7
977,7
978,7
979,8
980,8
981,8
982,8
983,8
984,12
985,8
986,8
987,8
988,8
989,8
990,4
991,0
992,0
993,0
994,0
995,0
996,0
997,1
998,1
999,1
