step,queue,waiting,throughput
28,5.0,14.0,0
29,9.0,33.0,1
30,5.0,9.0,4
31,7.0,55.0,1
32,6.0,33.0,1
33,6.0,19.0,2
34,7.0,30.0,4
35,6.0,21.0,1
36,11.0,97.0,2
37,4.0,22.0,4
38,10.0,36.0,1
39,5.0,12.0,2
40,7.0,63.0,2
41,13.0,156.0,1
42,5.0,8.0,0
43,8.0,24.0,1
44,4.0,6.0,1
45,8.0,55.0,1
46,5.0,14.0,1
47,9.0,29.0,2
48,5.0,12.0,2
49,6.0,26.0,3
50,3.0,14.0,2
51,6.0,20.0,3
52,9.0,86.0,1
53,2.0,13.0,1
54,6.0,24.0,1
55,5.0,18.0,1
56,6.0,24.0,0
57,4.0,13.0,2
58,4.0,5.0,1
59,3.0,12.0,1
60,7.0,62.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,5.0,6.0,0
8,3.0,14.0,0
9,6.0,60.0,0
10,13.0,145.0,1
11,3.0,11.0,2
12,7.0,30.0,2
13,6.0,18.0,0
14,8.0,28.0,1
15,5.0,23.0,1
16,8.0,25.0,0
17,12.0,101.0,2
18,4.0,17.0,1
19,8.0,75.0,2
20,5.0,11.0,3
21,6.0,55.0,1
22,11.0,141.0,1
23,6.0,8.0,2
24,8.0,29.0,4
25,3.0,11.0,1
26,10.0,33.0,1
27,7.0,23.0,4
28,8.0,24.0,0
29,13.0,113.0,2
30,4.0,13.0,1
31,10.0,26.0,2
32,5.0,13.0,0
33,7.0,73.0,1
34,7.0,16.0,2
35,9.0,29.0,1
36,12.0,121.0,2
37,8.0,22.0,2
38,10.0,39.0,1
39,16.0,177.0,3
40,22.0,356.0,0
41,10.0,55.0,1
42,8.0,43.0,1
43,13.0,42.0,1
44,11.0,33.0,0
45,22.0,183.0,0
46,12.0,63.0,2
47,8.0,58.0,0
48,12.0,42.0,1
49,7.0,28.0,2
50,9.0,47.0,1
51,8.0,25.0,2
52,9.0,29.0,1
53,7.0,27.0,1
54,6.0,23.0,1
55,9.0,27.0,1
56,8.0,28.0,2
57,5.0,18.0,2
58,8.0,22.0,1
59,7.0,24.0,1
60,4.0,15.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,9.0,50.0,0
8,3.0,7.0,0
9,7.0,28.0,0
10,6.0,12.0,1
11,7.0,26.0,0
12,3.0,12.0,2
13,10.0,31.0,2
14,6.0,17.0,1
15,4.0,22.0,0
16,6.0,24.0,2
17,7.0,9.0,0
18,7.0,58.0,1
19,3.0,5.0,2
20,8.0,33.0,1
21,10.0,108.0,2
22,4.0,11.0,1
23,9.0,40.0,3
24,13.0,141.0,3
25,17.0,280.0,2
26,10.0,55.0,2
27,9.0,31.0,2
28,13.0,43.0,0
29,7.0,81.0,0
30,9.0,28.0,2
31,11.0,44.0,3
32,9.0,33.0,2
33,12.0,39.0,2
34,13.0,112.0,3
35,9.0,26.0,2
36,11.0,43.0,2
37,8.0,36.0,2
38,10.0,113.0,3
39,8.0,30.0,2
40,8.0,96.0,1
41,6.0,14.0,2
42,9.0,68.0,2
43,10.0,154.0,3
44,4.0,9.0,1
45,8.0,53.0,1
46,5.0,27.0,3
47,6.0,28.0,2
48,5.0,5.0,1
49,7.0,27.0,1
50,10.0,107.0,2
51,16.0,232.0,3
52,8.0,32.0,2
53,8.0,58.0,2
54,4.0,15.0,0
55,12.0,91.0,1
56,5.0,11.0,0
57,8.0,28.0,1
58,6.0,20.0,1
59,9.0,39.0,1
60,5.0,28.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,4.0,0
8,7.0,52.0,0
9,11.0,143.0,0
10,6.0,8.0,2
11,9.0,60.0,2
12,4.0,13.0,0
13,8.0,28.0,1
14,4.0,9.0,2
15,8.0,26.0,2
16,2.0,7.0,3
17,8.0,22.0,1
18,6.0,14.0,3
19,5.0,31.0,2
20,4.0,5.0,2
21,6.0,11.0,1
22,3.0,15.0,1
23,10.0,71.0,2
24,4.0,13.0,2
25,6.0,63.0,1
26,7.0,15.0,1
27,4.0,19.0,3
28,5.0,16.0,3
29,6.0,23.0,1
30,4.0,15.0,0
31,8.0,67.0,2
32,6.0,18.0,0
33,7.0,70.0,4
34,6.0,22.0,0
35,10.0,88.0,1
36,2.0,8.0,0
37,9.0,28.0,3
38,15.0,140.0,1
39,15.0,279.0,2
40,6.0,18.0,1
41,9.0,34.0,1
42,6.0,31.0,0
43,10.0,33.0,1
44,8.0,27.0,0
45,8.0,78.0,3
46,8.0,26.0,3
47,11.0,36.0,3
48,4.0,14.0,1
49,10.0,35.0,1
50,5.0,11.0,2
51,7.0,60.0,1
52,5.0,29.0,4
53,13.0,105.0,2
54,3.0,12.0,1
55,6.0,31.0,2
56,8.0,21.0,0
57,5.0,26.0,1
58,4.0,19.0,2
59,11.0,84.0,0
60,5.0,22.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,6.0,0
8,7.0,54.0,0
9,3.0,11.0,0
10,10.0,23.0,2
11,3.0,8.0,3
12,6.0,53.0,1
13,6.0,12.0,3
14,7.0,29.0,2
15,3.0,9.0,2
16,6.0,8.0,0
17,5.0,21.0,3
18,3.0,5.0,3
19,7.0,18.0,2
20,4.0,12.0,1
21,4.0,13.0,1
22,11.0,71.0,2
23,4.0,15.0,2
24,5.0,17.0,2
25,11.0,73.0,4
26,3.0,10.0,0
27,7.0,19.0,2
28,5.0,4.0,3
29,5.0,49.0,2
30,4.0,18.0,1
31,11.0,25.0,3
32,13.0,122.0,1
33,14.0,254.0,1
34,13.0,44.0,2
35,8.0,27.0,0
36,7.0,29.0,1
37,11.0,33.0,2
38,21.0,175.0,3
39,5.0,20.0,1
40,11.0,27.0,1
41,22.0,170.0,0
42,8.0,60.0,0
43,9.0,67.0,0
44,13.0,60.0,1
45,5.0,26.0,1
46,8.0,22.0,2
47,10.0,32.0,1
48,9.0,32.0,1
49,8.0,34.0,3
50,11.0,114.0,1
51,6.0,11.0,3
52,6.0,17.0,2
53,14.0,126.0,3
54,9.0,40.0,1
55,9.0,31.0,3
56,6.0,18.0,1
57,10.0,36.0,1
58,5.0,11.0,1
59,11.0,38.0,1
60,4.0,9.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,5.0,4.0,0
8,4.0,15.0,0
9,4.0,11.0,0
10,8.0,56.0,1
11,3.0,9.0,1
12,5.0,52.0,1
13,6.0,10.0,2
14,8.0,60.0,0
15,2.0,7.0,1
16,11.0,31.0,1
17,11.0,125.0,2
18,3.0,7.0,4
19,11.0,29.0,0
20,5.0,16.0,1
21,7.0,27.0,0
22,8.0,17.0,1
23,8.0,62.0,3
24,5.0,23.0,2
25,11.0,85.0,1
26,14.0,196.0,2
27,5.0,20.0,2
28,11.0,30.0,2
29,4.0,17.0,2
30,9.0,43.0,1
31,5.0,15.0,1
32,10.0,49.0,2
33,3.0,8.0,3
34,8.0,36.0,1
35,10.0,114.0,3
36,14.0,233.0,2
37,8.0,28.0,2
38,7.0,58.0,1
39,9.0,34.0,0
40,8.0,22.0,2
41,8.0,41.0,1
42,6.0,22.0,1
43,9.0,32.0,0
44,4.0,12.0,2
45,10.0,40.0,2
46,5.0,15.0,1
47,7.0,65.0,2
48,13.0,159.0,1
49,17.0,289.0,1
50,8.0,42.0,1
51,7.0,58.0,2
52,11.0,45.0,1
53,5.0,15.0,0
54,7.0,22.0,1
55,5.0,19.0,2
56,8.0,31.0,0
57,4.0,12.0,1
58,9.0,25.0,2
59,3.0,6.0,3
60,9.0,33.0,3
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,9.0,50.0,0
8,3.0,7.0,0
9,7.0,28.0,0
10,4.0,4.0,1
11,7.0,50.0,0
12,2.0,8.0,2
13,9.0,29.0,0
14,4.0,11.0,1
15,6.0,36.0,1
16,6.0,13.0,2
17,3.0,11.0,1
18,6.0,22.0,1
19,11.0,81.0,1
20,3.0,6.0,0
21,5.0,25.0,2
22,11.0,89.0,0
23,3.0,7.0,1
24,5.0,44.0,2
25,6.0,13.0,1
26,7.0,30.0,1
27,2.0,9.0,4
28,9.0,26.0,3
29,10.0,114.0,1
30,4.0,14.0,2
31,11.0,65.0,2
32,7.0,31.0,2
33,9.0,107.0,0
34,7.0,7.0,1
35,8.0,40.0,2
36,12.0,144.0,1
37,5.0,9.0,1
38,6.0,46.0,0
39,10.0,124.0,1
40,5.0,14.0,1
41,10.0,44.0,0
42,3.0,8.0,1
43,7.0,51.0,1
44,8.0,27.0,1
45,3.0,16.0,0
46,6.0,26.0,1
47,6.0,10.0,3
48,7.0,59.0,1
49,4.0,18.0,2
50,12.0,79.0,1
51,2.0,9.0,2
52,6.0,58.0,1
53,8.0,18.0,2
54,3.0,14.0,0
55,5.0,19.0,2
56,12.0,82.0,1
57,2.0,11.0,0
58,6.0,54.0,2
59,4.0,3.0,2
60,8.0,28.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,5.0,10.0,0
8,7.0,55.0,0
9,3.0,7.0,1
10,8.0,56.0,0
11,3.0,8.0,1
12,8.0,30.0,1
13,6.0,17.0,0
14,9.0,72.0,0
15,2.0,10.0,1
16,10.0,36.0,1
17,5.0,7.0,2
18,8.0,30.0,2
19,5.0,13.0,3
20,10.0,28.0,0
21,3.0,13.0,3
22,8.0,35.0,2
23,6.0,18.0,1
24,8.0,74.0,3
25,11.0,162.0,2
26,5.0,14.0,1
27,8.0,61.0,1
28,9.0,38.0,1
29,13.0,130.0,0
30,5.0,16.0,1
31,9.0,32.0,3
32,18.0,162.0,0
33,7.0,48.0,2
34,7.0,28.0,1
35,4.0,16.0,2
36,9.0,28.0,1
37,3.0,14.0,3
38,8.0,22.0,2
39,5.0,8.0,2
40,6.0,46.0,1
41,10.0,41.0,0
42,6.0,33.0,0
43,10.0,41.0,2
44,11.0,123.0,1
45,2.0,12.0,2
46,9.0,22.0,1
47,5.0,12.0,0
48,7.0,63.0,0
49,13.0,157.0,0
50,18.0,288.0,2
51,3.0,16.0,2
52,8.0,30.0,0
53,5.0,15.0,2
54,9.0,75.0,0
55,6.0,16.0,0
56,9.0,28.0,1
57,5.0,19.0,2
58,8.0,27.0,0
59,3.0,5.0,3
60,10.0,34.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,4.0,0
8,7.0,52.0,0
9,3.0,15.0,0
10,10.0,27.0,2
11,3.0,9.0,1
12,5.0,21.0,0
13,4.0,10.0,2
14,8.0,40.0,1
15,4.0,11.0,1
16,8.0,24.0,2
17,9.0,95.0,1
18,3.0,11.0,2
19,11.0,33.0,2
20,4.0,17.0,2
21,8.0,71.0,1
22,9.0,28.0,3
23,9.0,95.0,3
24,4.0,10.0,0
25,9.0,61.0,1
26,4.0,27.0,3
27,6.0,21.0,1
28,5.0,16.0,1
29,8.0,63.0,1
30,11.0,150.0,2
31,3.0,11.0,1
32,8.0,27.0,2
33,4.0,16.0,2
34,10.0,23.0,3
35,5.0,18.0,0
36,4.0,14.0,3
37,9.0,70.0,0
38,13.0,163.0,4
39,2.0,13.0,0
40,9.0,36.0,0
41,14.0,143.0,0
42,6.0,24.0,0
43,10.0,34.0,2
44,4.0,12.0,1
45,10.0,50.0,1
46,4.0,12.0,2
47,10.0,37.0,2
48,5.0,6.0,1
49,8.0,31.0,0
50,14.0,139.0,2
51,20.0,297.0,0
52,10.0,82.0,1
53,5.0,42.0,2
54,10.0,29.0,0
55,7.0,24.0,1
56,7.0,25.0,1
57,16.0,145.0,1
58,9.0,37.0,2
59,6.0,61.0,1
60,11.0,34.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,5.0,6.0,0
8,4.0,14.0,0
9,6.0,60.0,0
10,5.0,3.0,1
11,6.0,30.0,2
12,2.0,6.0,0
13,7.0,18.0,0
14,5.0,22.0,2
15,2.0,9.0,2
16,8.0,20.0,3
17,8.0,86.0,3
18,2.0,4.0,1
19,11.0,35.0,1
20,13.0,129.0,0
21,3.0,13.0,0
22,12.0,38.0,4
23,3.0,7.0,1
24,8.0,30.0,0
25,5.0,9.0,2
26,7.0,51.0,1
27,4.0,16.0,1
28,7.0,22.0,2
29,4.0,19.0,3
30,5.0,23.0,1
31,5.0,9.0,0
32,9.0,61.0,1
33,2.0,9.0,1
34,10.0,36.0,1
35,4.0,9.0,4
36,4.0,17.0,1
37,6.0,15.0,0
38,6.0,25.0,0
39,9.0,95.0,2
40,6.0,11.0,1
41,8.0,41.0,2
42,2.0,11.0,4
43,11.0,32.0,1
44,13.0,133.0,1
45,4.0,15.0,1
46,10.0,28.0,0
47,14.0,133.0,2
48,8.0,25.0,1
49,10.0,32.0,1
50,18.0,166.0,1
51,8.0,40.0,0
52,9.0,83.0,2
53,7.0,28.0,2
54,7.0,37.0,2
55,7.0,24.0,1
56,6.0,27.0,3
57,6.0,27.0,2
58,10.0,91.0,0
59,14.0,186.0,0
60,3.0,14.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,9.0,0
7,5.0,6.0,0
8,7.0,54.0,0
9,3.0,13.0,0
10,6.0,21.0,2
11,5.0,11.0,2
12,2.0,5.0,2
13,7.0,45.0,2
14,4.0,8.0,2
15,6.0,55.0,1
16,4.0,11.0,2
17,5.0,5.0,0
18,4.0,13.0,2
19,8.0,70.0,0
20,5.0,9.0,1
21,5.0,47.0,2
22,4.0,17.0,3
23,7.0,20.0,2
24,7.0,75.0,1
25,3.0,8.0,1
26,8.0,29.0,0
27,9.0,97.0,1
28,15.0,213.0,1
29,3.0,12.0,1
30,7.0,58.0,1
31,3.0,10.0,1
32,9.0,62.0,2
33,3.0,9.0,1
34,5.0,10.0,3
35,5.0,14.0,2
36,4.0,22.0,2
37,10.0,88.0,2
38,4.0,11.0,1
39,6.0,20.0,2
40,12.0,91.0,2
41,4.0,12.0,2
42,9.0,33.0,0
43,6.0,16.0,1
44,8.0,69.0,2
45,4.0,16.0,1
46,9.0,64.0,2
47,5.0,16.0,1
48,7.0,24.0,0
49,7.0,21.0,2
50,10.0,89.0,1
51,4.0,11.0,3
52,10.0,33.0,1
53,3.0,11.0,2
54,6.0,49.0,1
55,8.0,27.0,0
56,13.0,118.0,2
57,4.0,18.0,1
58,11.0,47.0,2
59,5.0,15.0,2
60,8.0,67.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,20.0,0
7,6.0,14.0,0
8,8.0,66.0,0
9,11.0,157.0,1
10,4.0,4.0,0
11,8.0,54.0,0
12,5.0,28.0,2
13,10.0,94.0,0
14,5.0,13.0,3
15,8.0,31.0,2
16,3.0,12.0,1
17,7.0,23.0,2
18,10.0,98.0,1
19,3.0,3.0,3
20,8.0,36.0,1
21,7.0,30.0,1
22,5.0,23.0,1
23,9.0,29.0,2
24,11.0,122.0,0
25,3.0,11.0,2
26,9.0,68.0,3
27,13.0,163.0,4
28,4.0,10.0,0
29,8.0,56.0,3
30,4.0,18.0,1
31,7.0,70.0,0
32,6.0,12.0,3
33,7.0,67.0,1
34,4.0,13.0,1
35,9.0,71.0,1
36,5.0,21.0,2
37,9.0,81.0,1
38,6.0,14.0,2
39,8.0,30.0,1
40,3.0,8.0,1
41,9.0,34.0,1
42,3.0,7.0,2
43,8.0,30.0,1
44,5.0,14.0,2
45,9.0,72.0,1
46,11.0,161.0,3
47,17.0,289.0,1
48,6.0,11.0,0
49,7.0,30.0,0
50,6.0,21.0,1
51,11.0,31.0,0
52,1.0,4.0,1
53,9.0,47.0,2
54,7.0,14.0,1
55,7.0,65.0,1
56,9.0,35.0,2
57,15.0,145.0,1
58,5.0,23.0,2
59,9.0,36.0,1
60,5.0,15.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,20.0,0
7,5.0,12.0,0
8,4.0,13.0,0
9,3.0,13.0,1
10,7.0,16.0,1
11,5.0,22.0,1
12,7.0,86.0,2
13,5.0,8.0,3
14,9.0,29.0,1
15,4.0,12.0,0
16,9.0,26.0,0
17,4.0,15.0,2
18,6.0,27.0,2
19,5.0,2.0,1
20,7.0,40.0,2
21,3.0,16.0,1
22,10.0,30.0,1
23,4.0,6.0,0
24,6.0,47.0,1
25,5.0,10.0,2
26,9.0,71.0,0
27,2.0,10.0,1
28,9.0,40.0,2
29,3.0,2.0,2
30,7.0,30.0,0
31,12.0,113.0,2
32,4.0,15.0,1
33,7.0,27.0,2
34,16.0,133.0,0
35,17.0,285.0,0
36,5.0,18.0,0
37,9.0,54.0,2
38,11.0,131.0,0
39,4.0,24.0,0
40,11.0,43.0,2
41,5.0,19.0,0
42,7.0,39.0,1
43,7.0,14.0,3
44,5.0,17.0,1
45,9.0,84.0,1
46,7.0,19.0,1
47,6.0,36.0,0
48,2.0,9.0,1
49,10.0,58.0,2
50,13.0,145.0,0
51,4.0,22.0,0
52,8.0,27.0,1
53,5.0,16.0,0
54,5.0,19.0,0
55,6.0,21.0,1
56,11.0,80.0,1
57,3.0,8.0,2
58,9.0,28.0,1
59,6.0,20.0,2
60,6.0,25.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,4.0,0
8,7.0,52.0,0
9,3.0,15.0,0
10,8.0,64.0,2
11,3.0,9.0,1
12,4.0,25.0,1
13,4.0,18.0,1
14,5.0,14.0,1
15,5.0,21.0,1
16,9.0,90.0,1
17,7.0,20.0,2
18,7.0,38.0,2
19,2.0,7.0,3
20,10.0,28.0,3
21,4.0,10.0,1
22,8.0,36.0,1
23,7.0,18.0,1
24,6.0,27.0,2
25,4.0,17.0,0
26,9.0,31.0,3
27,4.0,15.0,3
28,4.0,21.0,0
29,5.0,18.0,1
30,8.0,70.0,2
31,2.0,10.0,1
32,11.0,27.0,1
33,12.0,123.0,0
34,2.0,14.0,1
35,10.0,73.0,0
36,9.0,28.0,1
37,7.0,28.0,1
38,7.0,24.0,3
39,11.0,89.0,0
40,13.0,194.0,1
41,5.0,17.0,2
42,10.0,22.0,1
43,4.0,21.0,2
44,8.0,26.0,0
45,18.0,146.0,1
46,4.0,26.0,1
47,10.0,47.0,2
48,7.0,18.0,3
49,10.0,31.0,1
50,17.0,165.0,1
51,8.0,26.0,0
52,9.0,37.0,0
53,18.0,186.0,2
54,10.0,34.0,0
55,9.0,56.0,0
56,6.0,17.0,4
57,11.0,33.0,0
58,13.0,129.0,1
59,3.0,11.0,2
60,12.0,33.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,6.0,0
8,4.0,13.0,0
9,4.0,18.0,0
10,5.0,8.0,2
11,3.0,9.0,1
12,2.0,5.0,2
13,6.0,16.0,2
14,3.0,6.0,1
15,6.0,48.0,1
16,6.0,15.0,0
17,7.0,28.0,1
18,4.0,15.0,2
19,6.0,13.0,1
20,4.0,7.0,2
21,4.0,19.0,3
22,10.0,70.0,1
23,2.0,4.0,3
24,7.0,44.0,3
25,7.0,19.0,0
26,7.0,28.0,1
27,4.0,16.0,2
28,10.0,77.0,2
29,3.0,14.0,0
30,7.0,30.0,2
31,4.0,9.0,1
32,7.0,52.0,2
33,4.0,7.0,2
34,5.0,11.0,0
35,2.0,8.0,2
36,9.0,60.0,0
37,4.0,18.0,1
38,5.0,25.0,2
39,5.0,9.0,0
40,5.0,16.0,1
41,8.0,75.0,2
42,4.0,8.0,0
43,9.0,25.0,2
44,2.0,6.0,3
45,8.0,25.0,1
46,5.0,9.0,3
47,7.0,56.0,1
48,4.0,7.0,3
49,8.0,61.0,3
50,3.0,6.0,1
51,6.0,25.0,2
52,3.0,10.0,1
53,8.0,63.0,1
54,12.0,149.0,1
55,5.0,16.0,0
56,9.0,28.0,1
57,6.0,15.0,1
58,9.0,33.0,0
59,5.0,18.0,0
60,10.0,79.0,1
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,9.0,53.0,0
8,3.0,7.0,0
9,3.0,12.0,0
10,6.0,11.0,1
11,6.0,25.0,0
12,4.0,19.0,2
13,10.0,79.0,2
14,3.0,5.0,1
15,6.0,51.0,1
16,6.0,15.0,3
17,4.0,8.0,0
18,4.0,20.0,0
19,9.0,78.0,0
20,6.0,24.0,1
21,7.0,32.0,1
22,5.0,14.0,2
23,8.0,34.0,1
24,9.0,113.0,3
25,4.0,13.0,2
26,10.0,36.0,2
27,12.0,140.0,2
28,3.0,13.0,0
29,10.0,61.0,0
30,6.0,26.0,1
31,8.0,31.0,2
32,9.0,24.0,2
33,7.0,22.0,0
34,7.0,26.0,2
35,6.0,15.0,3
36,9.0,32.0,5
37,10.0,121.0,1
38,16.0,251.0,3
39,4.0,10.0,3
40,7.0,26.0,1
41,7.0,17.0,0
42,10.0,82.0,0
43,8.0,33.0,1
44,15.0,140.0,2
45,6.0,26.0,1
46,10.0,37.0,2
47,8.0,31.0,1
48,8.0,28.0,2
49,9.0,31.0,1
50,13.0,128.0,1
51,5.0,17.0,1
52,10.0,40.0,3
53,6.0,16.0,0
54,7.0,66.0,3
55,12.0,150.0,2
56,6.0,13.0,1
57,11.0,52.0,2
58,5.0,19.0,1
59,7.0,22.0,1
60,5.0,22.0,4
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,45.0,0
7,5.0,4.0,0
8,7.0,49.0,0
9,3.0,14.0,1
10,8.0,61.0,0
11,5.0,19.0,1
12,6.0,41.0,0
13,13.0,117.0,1
14,5.0,19.0,4
15,10.0,38.0,2
16,8.0,27.0,0
17,10.0,32.0,2
18,6.0,25.0,3
19,9.0,26.0,3
20,7.0,20.0,1
21,8.0,29.0,2
22,5.0,12.0,0
23,8.0,72.0,3
24,4.0,13.0,2
25,7.0,27.0,1
26,5.0,19.0,5
27,7.0,68.0,2
28,5.0,10.0,1
29,9.0,30.0,2
30,6.0,19.0,2
31,8.0,36.0,0
32,12.0,132.0,1
33,7.0,15.0,4
34,10.0,28.0,1
35,3.0,20.0,1
36,7.0,65.0,0
37,5.0,17.0,2
38,6.0,22.0,2
39,5.0,8.0,4
40,5.0,18.0,3
41,9.0,73.0,0
42,4.0,12.0,0
43,8.0,26.0,0
44,4.0,15.0,2
45,8.0,26.0,2
46,5.0,23.0,0
47,5.0,16.0,1
48,5.0,9.0,1
49,4.0,9.0,2
50,5.0,20.0,2
51,11.0,87.0,3
52,3.0,9.0,1
53,9.0,31.0,1
54,5.0,9.0,2
55,8.0,30.0,1
56,3.0,15.0,3
57,9.0,37.0,3
58,5.0,12.0,1
59,6.0,33.0,3
60,4.0,3.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,9.0,0
6,5.0,19.0,0
7,10.0,79.0,0
8,4.0,13.0,0
9,7.0,29.0,1
10,5.0,8.0,0
11,8.0,61.0,2
12,3.0,5.0,1
13,9.0,27.0,2
14,3.0,14.0,1
15,4.0,15.0,0
16,10.0,72.0,3
17,5.0,13.0,3
18,4.0,10.0,1
19,5.0,9.0,1
20,9.0,29.0,0
21,3.0,13.0,2
22,8.0,28.0,0
23,6.0,15.0,2
24,2.0,11.0,2
25,5.0,15.0,4
26,5.0,10.0,2
27,3.0,14.0,2
28,6.0,17.0,1
29,4.0,13.0,2
30,7.0,58.0,1
31,4.0,10.0,2
32,8.0,58.0,2
33,2.0,15.0,3
34,7.0,22.0,0
35,6.0,17.0,0
36,7.0,81.0,3
37,6.0,18.0,2
38,8.0,62.0,1
39,3.0,12.0,2
40,5.0,15.0,0
41,6.0,16.0,1
42,5.0,18.0,1
43,6.0,13.0,1
44,8.0,63.0,4
45,4.0,12.0,1
46,9.0,24.0,2
47,4.0,13.0,1
48,8.0,44.0,0
49,6.0,15.0,0
50,8.0,66.0,2
51,13.0,160.0,1
52,4.0,11.0,1
53,9.0,54.0,0
54,8.0,31.0,1
55,6.0,33.0,2
56,9.0,26.0,3
57,7.0,24.0,1
58,6.0,23.0,1
59,13.0,102.0,3
60,4.0,6.0,0
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,4.0,0
8,7.0,52.0,0
9,11.0,143.0,0
10,6.0,8.0,2
11,10.0,42.0,1
12,2.0,11.0,0
13,11.0,39.0,1
14,5.0,23.0,0
15,7.0,32.0,3
16,5.0,4.0,2
17,7.0,33.0,0
18,9.0,110.0,3
19,4.0,5.0,1
20,10.0,26.0,3
21,3.0,17.0,0
22,11.0,33.0,2
23,17.0,162.0,1
24,7.0,44.0,0
25,7.0,50.0,2
26,9.0,33.0,2
27,9.0,38.0,0
28,13.0,129.0,2
29,7.0,24.0,1
30,11.0,110.0,1
31,16.0,235.0,2
32,5.0,12.0,1
33,7.0,63.0,1
34,6.0,20.0,0
35,5.0,27.0,2
36,10.0,90.0,2
37,5.0,13.0,4
38,6.0,54.0,2
39,5.0,16.0,2
40,9.0,29.0,0
41,5.0,16.0,2
42,10.0,67.0,1
43,11.0,158.0,5
44,2.0,3.0,0
45,11.0,34.0,0
46,3.0,7.0,3
47,10.0,41.0,1
48,6.0,7.0,2
49,8.0,40.0,0
50,4.0,11.0,1
51,10.0,40.0,0
52,3.0,16.0,1
53,8.0,67.0,0
54,5.0,7.0,1
55,7.0,40.0,1
56,4.0,14.0,2
57,10.0,30.0,2
58,3.0,13.0,1
59,7.0,25.0,1
60,7.0,16.0,2
1,3.0,0.0,0
2,1.0,0.0,0
3,0.0,0.0,0
4,3.0,0.0,0
5,3.0,7.0,0
6,2.0,10.0,0
7,5.0,4.0,0
8,4.0,16.0,0
9,4.0,18.0,0
10,5.0,7.0,2
11,9.0,56.0,1
12,3.0,9.0,2
13,7.0,55.0,1
14,13.0,144.0,1
15,16.0,265.0,1
16,4.0,13.0,1
17,11.0,46.0,0
18,4.0,10.0,0
19,9.0,34.0,0
20,7.0,19.0,1
21,9.0,78.0,2
22,4.0,16.0,3
23,8.0,24.0,2
24,3.0,7.0,2
25,7.0,46.0,0
26,13.0,134.0,1
27,4.0,13.0,3
28,8.0,29.0,2
29,5.0,20.0,2
30,9.0,34.0,1
31,4.0,18.0,1
32,5.0,18.0,1
33,6.0,18.0,1
34,7.0,23.0,2
35,8.0,97.0,0
36,5.0,13.0,4
37,10.0,38.0,1
38,2.0,5.0,3
39,6.0,44.0,0
40,5.0,17.0,0
41,9.0,78.0,2
42,12.0,172.0,4
43,17.0,304.0,1
44,8.0,42.0,1
45,9.0,33.0,2
46,5.0,14.0,1
47,9.0,40.0,0
48,4.0,14.0,1
49,10.0,62.0,2
50,12.0,160.0,0
51,17.0,296.0,2
52,7.0,21.0,1
